DATE (ddd.MMM.dd.yyyy hh:mm:ss.zzz),<int>,<float>,<string>,<uint8_t>,<int8_t>,<char>,RX hz,TX hz,CRC Errors,read_queue_size,graph(0)->data.size()
Mon.May.02.2022 14:33:37.815,13,-2.94776,MCU is reading properly,253,-12,G,68.10 Hz,4.93 Hz,0,323,98
Mon.May.02.2022 14:33:37.830,13,-2.98105,MCU is reading properly,253,-12,G,48.25 Hz,4.93 Hz,0,323,99
Mon.May.02.2022 14:33:37.830,13,-3.01437,MCU is reading properly,253,-12,G,50.17 Hz,4.93 Hz,0,323,99
Mon.May.02.2022 14:33:37.830,13,-3.01437,MCU is reading properly,253,-12,G,71.80 Hz,4.93 Hz,0,323,99
Mon.May.02.2022 14:33:37.830,13,-3.04757,MCU is reading properly,253,-12,G,67.60 Hz,4.93 Hz,0,323,99
Mon.May.02.2022 14:33:37.846,13,-3.08071,MCU is reading properly,253,-12,G,68.38 Hz,4.93 Hz,0,323,100
Mon.May.02.2022 14:33:37.846,13,-3.11373,MCU is reading properly,253,-12,G,68.23 Hz,4.93 Hz,0,323,100
Mon.May.02.2022 14:33:37.846,13,-3.14668,MCU is reading properly,253,-12,G,68.26 Hz,4.93 Hz,0,323,100
Mon.May.02.2022 14:33:37.846,13,-3.17932,MCU is reading properly,253,-12,G,68.25 Hz,4.93 Hz,0,323,100
Mon.May.02.2022 14:33:37.977,13,-3.21169,MCU is reading properly,253,-12,G,68.25 Hz,4.93 Hz,0,409,101
Mon.May.02.2022 14:33:37.977,13,-3.24375,MCU is reading properly,253,-12,G,47.32 Hz,4.93 Hz,0,409,101
Mon.May.02.2022 14:33:37.977,13,-3.27544,MCU is reading properly,253,-12,G,49.28 Hz,4.93 Hz,0,409,101
Mon.May.02.2022 14:33:37.977,13,-3.27544,MCU is reading properly,253,-12,G,49.09 Hz,4.93 Hz,0,409,101
Mon.May.02.2022 14:33:37.977,13,-3.30682,MCU is reading properly,253,-12,G,49.11 Hz,4.93 Hz,0,409,101
Mon.May.02.2022 14:33:37.993,13,-3.33764,MCU is reading properly,253,-12,G,69.04 Hz,4.93 Hz,0,409,102
Mon.May.02.2022 14:33:37.999,13,-3.33764,MCU is reading properly,253,-12,G,65.43 Hz,4.93 Hz,0,409,102
Mon.May.02.2022 14:33:37.999,13,-3.36795,MCU is reading properly,253,-12,G,66.06 Hz,4.93 Hz,0,409,102
Mon.May.02.2022 14:33:37.999,13,-3.39781,MCU is reading properly,253,-12,G,65.95 Hz,4.93 Hz,0,409,102
Mon.May.02.2022 14:33:37.999,13,-3.42706,MCU is reading properly,253,-12,G,65.97 Hz,4.93 Hz,0,409,102
Mon.May.02.2022 14:33:37.999,13,-3.45559,MCU is reading properly,253,-12,G,65.96 Hz,4.93 Hz,0,409,102
Mon.May.02.2022 14:33:38.015,13,-3.48344,MCU is reading properly,253,-12,G,65.96 Hz,4.93 Hz,0,409,103
Mon.May.02.2022 14:33:38.131,13,-3.51065,MCU is reading properly,253,-12,G,65.96 Hz,4.93 Hz,0,362,104
Mon.May.02.2022 14:33:38.131,13,-3.53732,MCU is reading properly,253,-12,G,47.08 Hz,4.93 Hz,0,362,104
Mon.May.02.2022 14:33:38.131,13,-3.56287,MCU is reading properly,253,-12,G,48.82 Hz,4.93 Hz,0,362,104
Mon.May.02.2022 14:33:38.131,13,-3.58751,MCU is reading properly,253,-12,G,48.65 Hz,4.93 Hz,0,362,104
Mon.May.02.2022 14:33:38.147,13,-3.61136,MCU is reading properly,253,-12,G,48.67 Hz,4.93 Hz,0,362,105
Mon.May.02.2022 14:33:38.147,13,-3.61136,MCU is reading properly,253,-12,G,68.93 Hz,4.93 Hz,0,362,105
Mon.May.02.2022 14:33:38.147,13,-3.63422,MCU is reading properly,253,-12,G,65.28 Hz,4.93 Hz,0,362,105
Mon.May.02.2022 14:33:38.147,13,-3.65614,MCU is reading properly,253,-12,G,65.91 Hz,4.93 Hz,0,362,105
Mon.May.02.2022 14:33:38.162,13,-3.67716,MCU is reading properly,253,-12,G,65.80 Hz,4.93 Hz,0,362,106
Mon.May.02.2022 14:33:38.162,13,-3.69711,MCU is reading properly,253,-12,G,65.82 Hz,4.93 Hz,0,362,106
Mon.May.02.2022 14:33:38.295,13,-3.71603,MCU is reading properly,253,-12,G,65.82 Hz,4.93 Hz,0,409,107
Mon.May.02.2022 14:33:38.300,13,-3.73395,MCU is reading properly,253,-12,G,46.05 Hz,4.93 Hz,0,409,107
Mon.May.02.2022 14:33:38.300,13,-3.75072,MCU is reading properly,253,-12,G,47.79 Hz,4.93 Hz,0,409,107
Mon.May.02.2022 14:33:38.300,13,-3.76639,MCU is reading properly,253,-12,G,47.64 Hz,4.93 Hz,0,409,107
Mon.May.02.2022 14:33:38.300,13,-3.76639,MCU is reading properly,253,-12,G,68.93 Hz,4.93 Hz,0,409,107
Mon.May.02.2022 14:33:38.300,13,-3.78093,MCU is reading properly,253,-12,G,65.11 Hz,4.93 Hz,0,409,107
Mon.May.02.2022 14:33:38.316,13,-3.79431,MCU is reading properly,253,-12,G,65.77 Hz,4.93 Hz,0,409,108
