DATE (ddd.MMM.dd.yyyy hh:mm:ss.zzz),<int>,<float>,<string>,<uint8_t>,<int8_t>,<char>,RX hz,TX hz,CRC Errors,read_queue_size,graph(0)->data.size()
Mon.May.02.2022 15:40:14.020,13,5.79341,MCU is reading properly,253,-12,G,65.96 Hz,1.00 Hz,0,370,845
Mon.May.02.2022 15:40:14.035,13,5.7627,MCU is reading properly,253,-12,G,47.08 Hz,1.00 Hz,0,370,846
Mon.May.02.2022 15:40:14.035,13,5.73066,MCU is reading properly,253,-12,G,48.82 Hz,1.00 Hz,0,370,846
Mon.May.02.2022 15:40:14.035,13,5.69772,MCU is reading properly,253,-12,G,48.65 Hz,1.00 Hz,0,370,846
Mon.May.02.2022 15:40:14.050,13,5.66367,MCU is reading properly,253,-12,G,72.32 Hz,1.00 Hz,0,370,847
Mon.May.02.2022 15:40:14.050,13,5.66367,MCU is reading properly,253,-12,G,67.69 Hz,1.00 Hz,0,370,847
Mon.May.02.2022 15:40:14.050,13,5.66367,MCU is reading properly,253,-12,G,68.55 Hz,1.00 Hz,0,370,847
Mon.May.02.2022 15:40:14.066,13,5.62842,MCU is reading properly,253,-12,G,68.39 Hz,1.00 Hz,0,370,848
Mon.May.02.2022 15:40:14.073,13,5.59179,MCU is reading properly,253,-12,G,68.42 Hz,1.00 Hz,0,370,848
Mon.May.02.2022 15:40:14.073,13,5.55391,MCU is reading properly,253,-12,G,68.41 Hz,1.00 Hz,0,370,848
Mon.May.02.2022 15:40:14.073,13,5.51481,MCU is reading properly,253,-12,G,68.41 Hz,1.00 Hz,0,370,848
Mon.May.02.2022 15:40:14.151,13,5.4745,MCU is reading properly,253,-12,G,68.41 Hz,1.00 Hz,0,362,849
Mon.May.02.2022 15:40:14.151,13,5.43303,MCU is reading properly,253,-12,G,47.49 Hz,1.00 Hz,0,362,849
Mon.May.02.2022 15:40:14.151,13,5.39043,MCU is reading properly,253,-12,G,49.45 Hz,1.00 Hz,0,362,849
Mon.May.02.2022 15:40:14.151,13,5.34671,MCU is reading properly,253,-12,G,49.26 Hz,1.00 Hz,0,362,849
Mon.May.02.2022 15:40:14.166,13,5.30179,MCU is reading properly,253,-12,G,69.01 Hz,1.00 Hz,0,362,850
Mon.May.02.2022 15:40:14.173,13,5.25583,MCU is reading properly,253,-12,G,65.44 Hz,1.00 Hz,0,362,850
Mon.May.02.2022 15:40:14.173,13,5.25583,MCU is reading properly,253,-12,G,66.06 Hz,1.00 Hz,0,362,850
Mon.May.02.2022 15:40:14.173,13,5.20899,MCU is reading properly,253,-12,G,65.95 Hz,1.00 Hz,0,362,850
Mon.May.02.2022 15:40:14.173,13,5.1612,MCU is reading properly,253,-12,G,65.97 Hz,1.00 Hz,0,362,850
Mon.May.02.2022 15:40:14.173,13,5.11249,MCU is reading properly,253,-12,G,65.96 Hz,1.00 Hz,0,362,850
Mon.May.02.2022 15:40:14.304,13,5.06289,MCU is reading properly,253,-12,G,65.96 Hz,1.00 Hz,0,409,851
Mon.May.02.2022 15:40:14.304,13,5.01245,MCU is reading properly,253,-12,G,46.99 Hz,1.00 Hz,0,409,851
Mon.May.02.2022 15:40:14.304,13,4.96167,MCU is reading properly,253,-12,G,48.73 Hz,1.00 Hz,0,409,851
Mon.May.02.2022 15:40:14.320,13,4.90968,MCU is reading properly,253,-12,G,48.57 Hz,1.00 Hz,0,409,851
Mon.May.02.2022 15:40:14.320,13,4.85698,MCU is reading properly,253,-12,G,48.58 Hz,1.00 Hz,0,409,852
Mon.May.02.2022 15:40:14.320,13,4.80361,MCU is reading properly,253,-12,G,68.95 Hz,1.00 Hz,0,409,852
Mon.May.02.2022 15:40:14.320,13,4.80361,MCU is reading properly,253,-12,G,65.28 Hz,1.00 Hz,0,409,852
Mon.May.02.2022 15:40:14.336,13,4.74978,MCU is reading properly,253,-12,G,65.91 Hz,1.00 Hz,0,409,853
Mon.May.02.2022 15:40:14.336,13,4.74978,MCU is reading properly,253,-12,G,65.80 Hz,1.00 Hz,0,409,853
Mon.May.02.2022 15:40:14.336,13,4.69523,MCU is reading properly,253,-12,G,65.82 Hz,1.00 Hz,0,409,853
Mon.May.02.2022 15:40:14.351,13,4.64014,MCU is reading properly,253,-12,G,65.82 Hz,1.00 Hz,0,409,854
Mon.May.02.2022 15:40:14.351,13,4.58458,MCU is reading properly,253,-12,G,65.82 Hz,1.00 Hz,0,409,854
Mon.May.02.2022 15:40:14.467,13,4.5286,MCU is reading properly,253,-12,G,65.82 Hz,1.00 Hz,0,362,855
Mon.May.02.2022 15:40:14.474,13,4.47224,MCU is reading properly,253,-12,G,46.14 Hz,1.00 Hz,0,362,855
Mon.May.02.2022 15:40:14.474,13,4.41555,MCU is reading properly,253,-12,G,47.88 Hz,1.00 Hz,0,362,855
Mon.May.02.2022 15:40:14.474,13,4.35859,MCU is reading properly,253,-12,G,47.72 Hz,1.00 Hz,0,362,855
Mon.May.02.2022 15:40:14.474,13,4.30141,MCU is reading properly,253,-12,G,68.92 Hz,1.00 Hz,0,362,855
Mon.May.02.2022 15:40:14.474,13,4.24406,MCU is reading properly,253,-12,G,65.11 Hz,1.00 Hz,0,362,855
Mon.May.02.2022 15:40:14.489,13,4.18659,MCU is reading properly,253,-12,G,65.77 Hz,1.00 Hz,0,362,856
Mon.May.02.2022 15:40:14.489,13,4.18659,MCU is reading properly,253,-12,G,65.65 Hz,1.00 Hz,0,362,856
Mon.May.02.2022 15:40:14.489,13,4.12905,MCU is reading properly,253,-12,G,65.67 Hz,1.00 Hz,0,362,856
Mon.May.02.2022 15:40:14.489,13,4.0715,MCU is reading properly,253,-12,G,65.67 Hz,1.00 Hz,0,362,856
Mon.May.02.2022 15:40:14.621,13,4.014,MCU is reading properly,253,-12,G,65.67 Hz,1.00 Hz,0,409,857
Mon.May.02.2022 15:40:14.621,13,3.95675,MCU is reading properly,253,-12,G,46.84 Hz,1.00 Hz,0,409,857
Mon.May.02.2022 15:40:14.621,13,3.89948,MCU is reading properly,253,-12,G,48.56 Hz,1.00 Hz,0,409,857
Mon.May.02.2022 15:40:14.621,13,3.84242,MCU is reading properly,253,-12,G,48.40 Hz,1.00 Hz,0,409,857
Mon.May.02.2022 15:40:14.636,13,3.7856,MCU is reading properly,253,-12,G,68.79 Hz,1.00 Hz,0,409,858
Mon.May.02.2022 15:40:14.636,13,3.72908,MCU is reading properly,253,-12,G,65.14 Hz,1.00 Hz,0,409,858
Mon.May.02.2022 15:40:14.636,13,3.67292,MCU is reading properly,253,-12,G,65.76 Hz,1.00 Hz,0,409,858
Mon.May.02.2022 15:40:14.636,13,3.67292,MCU is reading properly,253,-12,G,65.65 Hz,1.00 Hz,0,409,858
Mon.May.02.2022 15:40:14.652,13,3.61717,MCU is reading properly,253,-12,G,65.67 Hz,1.00 Hz,0,409,859
Mon.May.02.2022 15:40:14.652,13,3.61717,MCU is reading properly,253,-12,G,65.67 Hz,1.00 Hz,0,409,859
Mon.May.02.2022 15:40:14.652,13,3.56187,MCU is reading properly,253,-12,G,65.67 Hz,1.00 Hz,0,409,859
Mon.May.02.2022 15:40:14.668,13,3.50709,MCU is reading properly,253,-12,G,65.67 Hz,1.00 Hz,0,409,859
Mon.May.02.2022 15:40:14.768,13,3.45286,MCU is reading properly,253,-12,G,65.67 Hz,1.00 Hz,0,362,860
Mon.May.02.2022 15:40:14.774,13,3.39924,MCU is reading properly,253,-12,G,47.47 Hz,1.00 Hz,0,362,860
Mon.May.02.2022 15:40:14.774,13,3.34628,MCU is reading properly,253,-12,G,49.17 Hz,1.00 Hz,0,362,860
Mon.May.02.2022 15:40:14.774,13,3.29403,MCU is reading properly,253,-12,G,49.00 Hz,1.00 Hz,0,362,860
Mon.May.02.2022 15:40:14.774,13,3.24237,MCU is reading properly,253,-12,G,71.83 Hz,1.00 Hz,0,362,860
Mon.May.02.2022 15:40:14.774,13,3.19168,MCU is reading properly,253,-12,G,67.41 Hz,1.00 Hz,0,362,860
Mon.May.02.2022 15:40:14.790,13,3.14167,MCU is reading properly,253,-12,G,68.22 Hz,1.00 Hz,0,362,861
Mon.May.02.2022 15:40:14.790,13,3.09257,MCU is reading properly,253,-12,G,68.07 Hz,1.00 Hz,0,362,861
Mon.May.02.2022 15:40:14.790,13,3.09257,MCU is reading properly,253,-12,G,68.10 Hz,1.00 Hz,0,362,861
Mon.May.02.2022 15:40:14.790,13,3.04454,MCU is reading properly,253,-12,G,68.10 Hz,1.00 Hz,0,362,861
Mon.May.02.2022 15:40:14.937,13,2.99735,MCU is reading properly,253,-12,G,68.10 Hz,1.00 Hz,0,370,862
Mon.May.02.2022 15:40:14.937,13,2.95119,MCU is reading properly,253,-12,G,46.72 Hz,1.00 Hz,0,370,862
Mon.May.02.2022 15:40:14.937,13,2.90622,MCU is reading properly,253,-12,G,48.66 Hz,1.00 Hz,0,370,862
Mon.May.02.2022 15:40:14.937,13,2.86195,MCU is reading properly,253,-12,G,48.48 Hz,1.00 Hz,0,370,862
Mon.May.02.2022 15:40:14.953,13,2.81847,MCU is reading properly,253,-12,G,68.96 Hz,1.00 Hz,0,370,863
Mon.May.02.2022 15:40:14.953,13,2.77631,MCU is reading properly,253,-12,G,65.28 Hz,1.00 Hz,0,370,863
Mon.May.02.2022 15:40:14.968,13,2.73529,MCU is reading properly,253,-12,G,65.91 Hz,1.00 Hz,0,370,864
Mon.May.02.2022 15:40:14.975,13,2.69566,MCU is reading properly,253,-12,G,65.80 Hz,1.00 Hz,0,370,864
Mon.May.02.2022 15:40:14.975,13,2.69566,MCU is reading properly,253,-12,G,65.82 Hz,1.00 Hz,0,370,864
Mon.May.02.2022 15:40:14.975,13,2.65745,MCU is reading properly,253,-12,G,65.82 Hz,1.00 Hz,0,370,864
Mon.May.02.2022 15:40:14.975,13,2.65745,MCU is reading properly,253,-12,G,65.82 Hz,1.00 Hz,0,370,864
Mon.May.02.2022 15:40:15.091,13,2.62059,MCU is reading properly,253,-12,G,65.82 Hz,1.00 Hz,0,401,865
Mon.May.02.2022 15:40:15.091,13,2.58498,MCU is reading properly,253,-12,G,46.92 Hz,1.00 Hz,0,401,865
Mon.May.02.2022 15:40:15.091,13,2.55087,MCU is reading properly,253,-12,G,48.64 Hz,1.00 Hz,0,401,865
Mon.May.02.2022 15:40:15.106,13,2.51799,MCU is reading properly,253,-12,G,48.48 Hz,1.00 Hz,0,401,865
Mon.May.02.2022 15:40:15.106,13,2.48657,MCU is reading properly,253,-12,G,48.50 Hz,1.00 Hz,0,401,866
Mon.May.02.2022 15:40:15.106,13,2.45672,MCU is reading properly,253,-12,G,67.66 Hz,1.00 Hz,0,401,866
Mon.May.02.2022 15:40:15.106,13,2.42836,MCU is reading properly,253,-12,G,64.32 Hz,1.00 Hz,0,401,866
Mon.May.02.2022 15:40:15.122,13,2.4013,MCU is reading properly,253,-12,G,64.88 Hz,1.00 Hz,0,401,867
Mon.May.02.2022 15:40:15.122,13,2.37542,MCU is reading properly,253,-12,G,64.78 Hz,1.00 Hz,0,401,867
Mon.May.02.2022 15:40:15.122,13,2.35111,MCU is reading properly,253,-12,G,64.80 Hz,1.00 Hz,0,401,867
Mon.May.02.2022 15:40:15.122,13,2.35111,MCU is reading properly,253,-12,G,64.80 Hz,1.00 Hz,0,401,867
