DATE (ddd.MMM.dd.yyyy hh:mm:ss.zzz),<int>,<float>,<string>,<uint8_t>,<int8_t>,<char>,RX hz,TX hz,CRC Errors,read_queue_size,graph(0)->data.size()
Mon.May.02.2022 16:02:53.089,13,2.63808,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2054
Mon.May.02.2022 16:02:53.104,13,2.64273,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2055
Mon.May.02.2022 16:02:53.109,13,2.64604,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2056
Mon.May.02.2022 16:02:53.109,13,2.64803,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2056
Mon.May.02.2022 16:02:53.109,13,2.64873,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2056
Mon.May.02.2022 16:02:53.109,13,2.64873,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2056
Mon.May.02.2022 16:02:53.130,13,2.64818,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2057
Mon.May.02.2022 16:02:53.130,13,2.64639,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2057
Mon.May.02.2022 16:02:53.130,13,2.64342,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2057
Mon.May.02.2022 16:02:53.130,13,2.63928,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2057
Mon.May.02.2022 16:02:53.151,13,2.63402,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2058
Mon.May.02.2022 16:02:53.151,13,2.63402,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,409,2058
Mon.May.02.2022 16:02:53.193,13,2.62768,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,323,2057
Mon.May.02.2022 16:02:53.193,13,2.62027,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,323,2057
Mon.May.02.2022 16:02:53.193,13,2.61186,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,323,2057
Mon.May.02.2022 16:02:53.208,13,2.60248,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,323,2057
Mon.May.02.2022 16:02:53.214,13,2.59218,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,323,2057
Mon.May.02.2022 16:02:53.214,13,2.59218,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,323,2057
Mon.May.02.2022 16:02:53.214,13,2.58098,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,323,2057
Mon.May.02.2022 16:02:53.214,13,2.56894,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,323,2057
Mon.May.02.2022 16:02:53.234,13,2.55614,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,323,2057
Mon.May.02.2022 16:02:53.357,13,2.54238,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,2056
Mon.May.02.2022 16:02:53.357,13,2.52776,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,2056
Mon.May.02.2022 16:02:53.357,13,2.51249,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,2056
Mon.May.02.2022 16:02:53.374,13,2.49654,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,2057
Mon.May.02.2022 16:02:53.374,13,2.48,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,2057
Mon.May.02.2022 16:02:53.374,13,2.46292,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,2057
Mon.May.02.2022 16:02:53.374,13,2.44536,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,2057
Mon.May.02.2022 16:02:53.394,13,2.44536,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,2058
Mon.May.02.2022 16:02:53.394,13,2.42734,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,2058
Mon.May.02.2022 16:02:53.394,13,2.40895,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,2058
Mon.May.02.2022 16:02:53.394,13,2.39044,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,2058
Mon.May.02.2022 16:02:53.515,13,2.37144,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2057
Mon.May.02.2022 16:02:53.515,13,2.35219,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2057
Mon.May.02.2022 16:02:53.515,13,2.35219,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2057
Mon.May.02.2022 16:02:53.515,13,2.33278,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2057
Mon.May.02.2022 16:02:53.515,13,2.31324,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2057
Mon.May.02.2022 16:02:53.536,13,2.29362,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2057
Mon.May.02.2022 16:02:53.536,13,2.27398,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2057
Mon.May.02.2022 16:02:53.536,13,2.25436,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2057
Mon.May.02.2022 16:02:53.536,13,2.25436,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2057
Mon.May.02.2022 16:02:53.557,13,2.23483,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2058
Mon.May.02.2022 16:02:53.557,13,2.21543,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2058
Mon.May.02.2022 16:02:53.673,13,2.1962,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,2057
Mon.May.02.2022 16:02:53.673,13,2.17721,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,2057
Mon.May.02.2022 16:02:53.673,13,2.15849,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,2057
Mon.May.02.2022 16:02:53.673,13,2.14009,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,2057
Mon.May.02.2022 16:02:53.673,13,2.12207,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,2057
Mon.May.02.2022 16:02:53.694,13,2.10447,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,2057
Mon.May.02.2022 16:02:53.694,13,2.08734,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,2057
Mon.May.02.2022 16:02:53.694,13,2.07071,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,2057
Mon.May.02.2022 16:02:53.715,13,2.07071,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,2058
Mon.May.02.2022 16:02:53.715,13,2.05462,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,2058
Mon.May.02.2022 16:02:53.715,13,2.03914,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,2058
Mon.May.02.2022 16:02:53.820,13,2.02433,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2058
Mon.May.02.2022 16:02:53.820,13,2.01015,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2058
Mon.May.02.2022 16:02:53.820,13,1.99672,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2058
Mon.May.02.2022 16:02:53.820,13,1.99672,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2058
Mon.May.02.2022 16:02:53.820,13,1.98404,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2058
Mon.May.02.2022 16:02:53.841,13,1.97213,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2058
Mon.May.02.2022 16:02:53.841,13,1.96103,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2058
Mon.May.02.2022 16:02:53.841,13,1.9509,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2058
Mon.May.02.2022 16:02:53.841,13,1.94173,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2058
Mon.May.02.2022 16:02:53.862,13,1.94173,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2058
Mon.May.02.2022 16:02:53.869,13,1.93343,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,2058
Mon.May.02.2022 16:02:53.973,13,1.926,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,351,2057
Mon.May.02.2022 16:02:53.973,13,1.9195,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,351,2057
Mon.May.02.2022 16:02:53.973,13,1.91393,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,351,2057
Mon.May.02.2022 16:02:53.994,13,1.90932,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,351,2057
Mon.May.02.2022 16:02:53.994,13,1.90568,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,351,2057
