DATE (ddd.MMM.dd.yyyy hh:mm:ss.zzz),<int>,<float>,<string>,<uint8_t>,<int8_t>,<char>,RX hz,TX hz,CRC Errors,read_queue_size,graph(0)->data.size()
Tue.May.03.2022 12:35:16.331,13,2.50805,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,nan,409
Tue.May.03.2022 12:35:16.338,13,2.48647,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,nan,410
Tue.May.03.2022 12:35:16.342,13,2.46327,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,nan,410
Tue.May.03.2022 12:35:16.348,13,2.46327,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,nan,411
Tue.May.03.2022 12:35:16.351,13,2.43855,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,nan,411
Tue.May.03.2022 12:35:16.355,13,2.41222,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,nan,411
Tue.May.03.2022 12:35:16.360,13,2.38428,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,nan,412
Tue.May.03.2022 12:35:16.363,13,2.35474,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,nan,412
Tue.May.03.2022 12:35:16.366,13,2.32361,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,nan,412
Tue.May.03.2022 12:35:16.371,13,2.29088,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,362,nan,413
Tue.May.03.2022 12:35:16.479,13,2.25687,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,nan,414
Tue.May.03.2022 12:35:16.484,13,2.221,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,nan,414
Tue.May.03.2022 12:35:16.489,13,2.18356,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,nan,415
Tue.May.03.2022 12:35:16.492,13,2.14445,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,nan,415
Tue.May.03.2022 12:35:16.495,13,2.14445,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,nan,415
Tue.May.03.2022 12:35:16.498,13,2.14445,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,nan,415
Tue.May.03.2022 12:35:16.505,13,2.10392,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,nan,416
Tue.May.03.2022 12:35:16.509,13,2.06225,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,nan,416
Tue.May.03.2022 12:35:16.512,13,2.01963,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,nan,416
Tue.May.03.2022 12:35:16.518,13,1.97573,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,nan,417
Tue.May.03.2022 12:35:16.522,13,1.93044,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,370,nan,417
Tue.May.03.2022 12:35:16.639,13,1.88365,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,nan,418
Tue.May.03.2022 12:35:16.643,13,1.83552,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,nan,418
Tue.May.03.2022 12:35:16.646,13,1.78621,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,nan,418
Tue.May.03.2022 12:35:16.651,13,1.73562,MCU is reading properly,253,-12,G,nan kHz,nan kHz,0,401,nan,419
